koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_slogg,ra,dec
0,1,0,0,0,4.6484156,261.09395,38.1939,1.28E+02,5.06,2259,6152.88,91.7,1,q1_q17_dr25_tce,3.577,295.26682,38.61124
0,0,1,0,0,17.51201477,174.282592,1.8248,4.51E+03,13.66,804,98.77,322.3,1,q1_q17_dr25_tce,4.33,287.61633,39.127239
0,0,1,1,0,0.525154153,133.744359,2.1441,7.48E+02,23.61,2073,4391.51,116.1,1,q1_q17_dr25_tce,4.497,295.09866,41.007038
0,0,0,1,1,1.303861044,134.212059,4.0541,5.98E+02,27.85,1610,1595.19,140.6,1,q1_q17_dr25_tce,4.475,298.13589,41.332062
,0,0,0,0,0.73452496,133.43108,6.7,,,,,,,,,293.28799,41.560455
0,0,0,1,0,2.55549176,134.50078,9.083,1.14E+02,23.35,1312,701.68,24.3,1,q1_q17_dr25_tce,4.508,298.77325,41.214729
0,0,1,0,0,2.947376671,171.522978,2.0911,4.33E+02,403.59,2404,7903.84,62.3,1,q1_q17_dr25_tce,4.002,292.61194,43.305141
0,0,1,1,0,0.890110752,133.2647,0.8774,3.22E+02,1.25,1372,838.42,19.6,1,q1_q17_dr25_tce,4.628,291.17068,38.008591
0,0,0,1,0,5.76573396,133.30941,2.924,2.48E+02,7.47,1964,3518.78,22.2,1,q1_q17_dr25_tce,3.364,294.52557,38.204632
0,1,0,1,0,0.73094589,133.68876,4.32,2.50E+02,17.12,1922,3248.17,37.5,1,q1_q17_dr25_tce,4.553,289.7962,38.351181
0,1,0,1,1,0.933749106,134.31831,4.256,1.86E+02,3.22,2863,15822.49,136.3,1,q1_q17_dr25_tce,3.849,292.77588,47.461689
0,0,0,1,1,2.037440623,133.59962,3.442,1.19E+02,1.19,1572,1448.05,27,1,q1_q17_dr25_tce,4.415,295.79526,47.66396
0,0,1,1,1,4.618767792,133.386535,5.9957,4.40E+03,7.48,1170,442.78,270.1,1,q1_q17_dr25_tce,4.381,297.31006,49.703041
0,0,1,0,0,52.56901867,184.971267,6.7507,2.69E+04,78.54,737,69.62,184.3,1,q1_q17_dr25_tce,4.178,290.94437,38.538868
0,0,0,1,0,3.411758679,133.18086,3.158,5.71E+02,14.71,684,51.85,35.6,1,q1_q17_dr25_tce,4.71,298.9917,41.074989
0,0,1,1,1,0.525426427,133.187901,1.0801,3.25E+02,1.45,2069,4349.62,63.6,1,q1_q17_dr25_tce,4.575,291.82181,41.11269
0,0,1,1,1,8.667822346,137.341841,4.9658,2.12E+03,67.37,1303,681.39,187.6,1,q1_q17_dr25_tce,3.923,299.39972,45.316051
,1,0,0,0,6.7210783,134.7775984,7.46,,,,,,,,,291.6069,38.348061
0,0,0,1,1,10.26547688,136.49663,3.733,4.00E+02,1.81,770,83.13,20.1,1,q1_q17_dr25_tce,4.553,292.27905,38.284531
0,0,1,0,0,3.305577989,180.68154,2.5903,1.80E+04,25.89,1027,263.55,39.6,1,q1_q17_dr25_tce,4.629,292.07849,38.631481
0,0,1,0,0,4.800653901,134.365782,9.0419,1.53E+04,16.91,1347,778.45,298,1,q1_q17_dr25_tce,4.347,296.13391,38.999008
0,0,1,1,1,15.06649901,140.654788,5.9885,3.63E+04,56.44,932,177.96,154.6,1,q1_q17_dr25_tce,4.028,293.92599,38.73798
0,0,1,0,0,34.82008158,163.015559,11.1711,1.88E+04,11.36,459,10.49,882.6,1,q1_q17_dr25_tce,4.522,286.86926,39.103729
0,1,0,0,1,0.651784374,133.111707,2.0141,2.78E+03,33.65,2090,4500.59,195.2,2,q1_q17_dr25_tce,4.375,291.99988,38.437698
1,0,1,0,0,1.353771892,261.43662,7.012,1.35E+03,430.99,4903,136609.48,76.7,1,q1_q17_dr25_tce,2.012,292.71964,48.852016
0,1,0,0,0,18.95491633,262.46677,24.249,8.68E+02,71.39,1139,397.48,249.3,1,q1_q17_dr25_tce,3.761,284.02679,49.415428
0,0,1,0,0,4.348866254,262.72768,3.2797,6.26E+02,2436.69,6421,401588.95,56.3,1,q1_q17_dr25_tce,0.65,298.80411,40.843563
0,0,1,0,0,47.93094546,179.096467,2.6897,2.14E+03,68.02,905,158.41,221.1,1,q1_q17_dr25_tce,4.104,295.59872,50.720669
,1,0,0,0,3.99751422,261.7243,3.686,3.28E+01,2.98,2203,5563.95,6.1,,,3.122,283.73642,44.71331
0,0,1,1,1,1.592633181,133.9243804,5.5605,6.33E+02,1.56,1053,290.51,66.9,1,q1_q17_dr25_tce,4.626,291.76196,37.09864
0,0,0,1,1,7.04710032,139.79737,2.926,4.01E+02,25.2,986,223.84,24,1,q1_q17_dr25_tce,4.363,290.13492,38.404221
0,0,1,1,0,11.11620211,133.100575,4.211,4.84E+03,8.96,853,125.21,115.3,1,q1_q17_dr25_tce,4.471,295.29193,38.964588
0,0,1,1,1,1.922861499,134.658644,3.5734,1.92E+03,5.09,1392,884.12,103.4,1,q1_q17_dr25_tce,4.531,291.44507,38.637211
0,0,1,1,1,0.635445336,134.184037,1.8592,2.55E+03,19,1177,451.42,182.2,1,q1_q17_dr25_tce,4.7,285.08026,39.18211
0,0,1,1,0,1.665784138,133.863028,1.8946,2.01E+03,97.27,2636,11424.49,148,1,q1_q17_dr25_tce,3.686,291.47629,38.50058
0,0,1,1,0,55.6639167,156.35017,23.546,3.41E+03,34.14,434,8.38,103.4,1,q1_q17_dr25_tce,4.528,294.74054,39.015511
,0,0,0,0,7.1548608,266.04847,7.694,7.80E+02,7.41,1482,1141.57,24.2,,,4.166,289.87411,49.68549
0,0,0,1,0,2.002779769,261.95791,2.231,2.61E+02,1.42,1311,696.4,22.2,1,q1_q17_dr25_tce,4.44,298.44775,47.264999
,1,0,0,0,3.3226948,134.444,3.568,7.87E+01,15.33,3859,52428.3,8.6,,,2.41,288.68259,41.30732
0,0,1,1,1,36.97708808,133.62681,4.737,1.27E+03,38.6,602,31.08,59.2,1,q1_q17_dr25_tce,4.193,288.44287,41.17218
,0,0,0,0,1.851409163,133.17995,10.232,2.33E+02,20.42,2154,5090.14,54.4,,,4.176,293.2735,41.25769
0,0,0,1,1,1.303859704,134.21201,2.8239,3.67E+01,0.98,2393,7759.2,34.7,1,q1_q17_dr25_tce,4.103,298.13794,41.334358
0,0,1,1,0,145.5624926,146.0588,5.4126,2.93E+03,40.15,387,5.33,58.1,1,q1_q17_dr25_tce,4.346,286.49072,37.489979
0,0,0,0,1,7.24476126,139.10497,2.3145,5.80E+01,0.65,837,116.02,27.2,1,q1_q17_dr25_tce,4.494,294.49011,38.194126
,0,0,0,0,81.221876,184.26164,4.1135,9.88E+03,16.59,385,5.2,63,,,4.536,296.38229,48.045311
0,0,0,1,1,0.817026268,132.835239,2.0799,1.15E+03,2.92,1784,2386.13,121.1,1,q1_q17_dr25_tce,4.536,296.38229,48.045311
1,0,0,1,0,5.670155713,136.201739,0.9361,5.37E+02,5.85,341,3.21,37.3,1,q1_q17_dr25_tce,5.126,292.26181,41.442554
0,0,0,1,0,13.55480534,139.81609,2.288,4.83E+01,0.62,679,50.41,16.5,2,q1_q17_dr25_tce,4.494,294.49011,38.194126
0,0,1,0,0,29.74454668,172.386652,23.2842,6.69E+04,20.06,455,10.1,765,1,q1_q17_dr25_tce,4.569,297.75708,41.680454
0,0,1,0,0,14.15402428,140.698466,4.47001,6.16E+04,53.25,777,86.13,930.3,1,q1_q17_dr25_tce,4.404,290.35294,41.769741
0,0,1,1,0,0.844786082,134.216987,3.5289,2.47E+03,35.27,1864,2846.03,245.6,1,q1_q17_dr25_tce,4.452,298.71152,41.635792
0.001,0,1,0,0,0.848483947,133.585301,1.4451,1.91E+03,32.11,1908,3117.82,185,1,q1_q17_dr25_tce,4.504,292.23679,41.7393
0,0,1,1,1,11.99097576,143.28437,5.7401,2.12E+03,37.47,880,141.63,102.8,1,q1_q17_dr25_tce,4.352,296.29855,41.602718
,0,0,0,1,0.393726813,133.310396,2.95,5.65E+02,24.17,2705,12661.53,64.8,,,4.449,294.65121,38.636459
,0,0,0,0,67.69213907,138.534171,51.349,2.55E+04,175.98,1173,448.21,1328.2,,,2.754,293.47363,46.970402
